vicon,original,filtered,2d original,2d filtered,0.5 smooth filtered,"0.5,0.5","0.5,0.5,0.5,0.1,0.1"
6.951295931,13.29839799,12.57267517,13.27553314,12.31006965,10.16521826,12.96893108,6.595317468
6.927954355,12.56478171,12.28518972,12.41645812,12.01433144,10.64255538,13.62303128,8.332990961
6.494542239,13.76862992,12.46120539,13.70702703,12.27213326,11.43731047,14.27866574,9.920114182
5.755637072,11.30424108,10.71123975,7.991498537,7.929392948,8.841899839,11.15362398,8.8409111
4.788739585,9.985535853,9.319979969,8.95877869,7.376069964,8.331676498,9.824806575,8.621203656
3.673145182,17.155733,13.35767554,16.68869839,13.32403492,11.43861253,12.61823523,10.38963831
2.511168847,17.2021924,14.87727076,15.77259391,14.05609434,12.98220183,14.53715959,11.58169735
1.391939943,19.01393697,17.01027442,16.64261519,15.34223775,14.09923918,15.89374443,12.65429507
0.364950054,21.15241687,20.40626435,17.32532151,16.69090082,15.88070727,17.68816031,14.47256573
-0.516029221,18.58943479,19.4936344,14.86406729,15.60796481,15.73316994,16.73444412,15.37019554
-1.159076462,18.2509076,19.18546476,14.67083447,15.44066471,15.53630085,16.23074809,15.57065921
-1.459719011,18.24022433,19.11972525,14.12951688,15.10996479,15.32946141,15.94754392,15.53738682
-1.353830269,18.41009091,18.03229407,10.46464478,10.60554237,12.44692192,12.79191361,12.18152483
-0.850107122,18.83852305,18.02696881,12.80085779,10.84677045,11.36538653,11.2660386,11.28232235
-0.011456207,13.85762225,14.85560296,12.06097786,11.85352687,11.53256889,11.2749846,9.383642944
1.13650261,17.40483984,16.93859973,15.9563333,15.351165,13.5877608,13.44061695,12.69622173
2.798953386,17.78311372,16.98205028,15.61897448,15.15928202,15.1036679,15.52453635,14.16427561
4.93439939,17.990327,18.01709584,15.64314352,15.91573413,15.55084018,15.89643864,14.51592586
8.670612467,19.71588832,19.76283146,17.83950653,17.91972137,16.9653437,17.50039451,16.01487489
12.78913852,23.45835392,23.06393852,23.01493454,22.46633692,20.48461476,21.32919428,20.08959132
19.83845351,34.85950626,32.82135003,34.0728656,32.1492342,28.16879871,29.63940881,31.78260473
25.47201013,41.88821899,42.49512879,41.83997364,42.39966192,37.52003487,39.78010674,42.39032664
35.71211685,40.4075341,42.90027596,39.94029213,42.61544494,41.16694812,43.9799684,45.24828054
39.52673187,50.41305156,51.05720922,50.00509555,50.73267659,48.55901625,51.08097464,51.1301394
53.36609255,53.63049723,54.95749702,53.35762746,54.69293325,53.87722517,56.04125033,55.33226278
28.89394433,50.18299605,52.17527399,49.79900766,51.48885958,53.65175202,55.29193898,53.29922038
,56.97493233,57.05893287,55.54427956,55.78941461,56.86246564,56.98321775,54.95362573
,2.666031501,10.57090354,-1.301760833,10.19573823,11.52998998,11.92347227,17.38833874
,2.715800983,3.259302882,-1.268951355,-2.722986659,7.328300848,-0.707683727,-6.45944566
,3.104262734,4.981898333,-1.427927776,-4.590974321,-3.278015701,-9.046308003,-10.99247683
,3.670966618,,,-4.389437883,-6.587955073,,-12.20483903
